JK_010738	Shamela_0000738	y
Shamela_0006410	Shia_002164	y
Shamela_0007456	Shamela_0009015	n
JK_006900	Shamela_0001035	y
JK_010726	Shamela_0005502	y
JK_010636	Shamela_0000636	y
JK_000522	Shamela_0009082	y
JK_010540	Shamela_0023718	y
JK_011437	Shamela_0009811	y
Shamela_0029916	Shamela_0030362	n
JK_010611	Shamela_0011485	y
JK_006980	Shamela_0008173	y
Shamela_0010786	Shamela_0029856	n
JK_009261	Shamela_0001544	y
JK_000427	Shia_002913	y
Shamela_0011331	Shamela_0013074	n
Shamela_0029862	Shia_002013	y
Shamela_0005825	Shamela_0009170	y
Shamela_0012986	Shia_001951	y
JK_000200	JK_000213	y
JK_000422	Shamela_0013083	y
Shamela_0007456	Shamela_0026006	n
Shamela_0098124	Shia_001715Vols	n
Shamela_0001961	Shamela_0007456	n
JK_010472	Shamela_0011680	y
JK_000777	Shamela_0002449	y
Shamela_0023614	Shia_002459Vols	y
JK_000707	Shamela_0098126	y
Shamela_0007456	Shamela_0010773	n
Shamela_0001919	Shamela_0007456	n
JK_000865	Shia_002666	y
Shamela_0007456	Shamela_0031468	n
Shamela_0005793	Shia_003440Vols	y
Shamela_0029788	Shamela_0029974	n
Shamela_0002449	Shia_002077Vols	y
Shamela_0001110	Shia_003230Vols	y
JK_010355	Shamela_0000355	y
Shamela_0023718	Shia_003484	y
Shamela_0029916	Shamela_0029974	n
JK_001256	Shamela_0011214	y
Shamela_0010769	Shamela_0010786	n
Shamela_0001909	Shamela_0007456	n
JK_001218	Shamela_0006997	y
JK_000462	Shamela_0002547	y
JK_007096	Shamela_0023614	y
JK_010560	Shamela_0006897	y
JK_000595	Shamela_0026554	n
Shamela_0007456	Shamela_0036042	n
JK_010637	Shamela_0010909	y
JK_010540	Shia_003484	y
Shamela_0007456	Shamela_0010786	n
JK_010260	Shamela_0010531	y
JK_000053	Shia_001951	y
JK_000523	Shamela_0005650	y
Shamela_0005950	Shia_002081	y
JK_000200	Shamela_0009543	y
Shamela_0006722	Shia_002076	y
JK_000911	Shia_003493Vols	y
Shamela_0007456	Shamela_0008903	n
Shamela_0002547	Shia_002542Vols	y
JK_006914	Shamela_0006908	y
JK_010181	Shamela_0021562	y
JK_000911	Shamela_0021712	y
JK_000740	Shamela_0005862	y
JK_001306	Shia_003440Vols	y
Shamela_0030873	Shamela_0036555	n
JK_010734	Shamela_0000734	y
JK_000928	Shamela_0005651	y
JK_000336	Shamela_0037614	y
Shamela_0021712	Shia_003493Vols	y
JK_001160	Shamela_0023177	y
JK_010195	Shamela_0001582	y
JK_009317	Shamela_0004126	y
JK_010676	Shamela_0026237	y
JK_009198	Shia_003230Vols	y
JK_010625	Shamela_0001593	y
Shamela_0012810	Shia_002456Vols	y
JK_010463	Shamela_0000463	y
Shamela_0010772	Shamela_0010786	n
JK_000477	Shamela_0009771	y
JK_011032	Shamela_0001032	y
Shamela_0010759	Shamela_0010769	n
JK_011221	Shia_003483	y
JK_010572	Shamela_0001585	y
Shamela_0007456	Shamela_0010772	n
JK_000707	Shamela_0000901	y
JK_012049	Shamela_0007610	y
JK_000324	Shamela_0006364	y
Shamela_0010772	Shamela_0010773	n
JK_010767	Shamela_0025793	y
JK_010678	Shamela_0000678	y
JK_010790	Shamela_0000790	y
Shamela_0096615	Shia_001782Vols	y
JK_000329	Shamela_0011331	y
JK_010461	Shamela_0011469	y
JK_000336	Shamela_0004137	y
Shamela_0000061	Shamela_0096615	y
JK_000667	Shamela_0013177	y
JK_000637	Shia_001782Vols	y
Shamela_0000061	Shia_001782Vols	y
Shamela_0004137	Shamela_0037614	y
JK_000707	Shia_002231Vols	y
JK_011444	Shamela_0009771	n
Shamela_0013182	Shia_002013	y
Shamela_0029720	Shamela_0029933	n
JK_000725	Shamela_0013178	y
Shamela_0023700	Shia_003230Vols	y
JK_000637	Shamela_0000061	y
Shamela_0010065	Shamela_0030873	n
JK_011584	Shamela_0001305	y
Shamela_0000901	Shamela_0098126	y
JK_001169	Shamela_0006607	y
JK_001069	Shamela_0005827	y
Shamela_0010791	Shamela_0011680	y
JK_010093	Shamela_0000658	y
Shamela_0010769	Shamela_0010772	n
JK_006988	Shamela_0006981	y
Shamela_0001118	Shamela_0007456	n
Shamela_0010759	Shamela_0010786	n
JK_001306	Shamela_0005793	y
JK_000149	Shamela_0010801	y
Shamela_0010772	Shamela_0029856	n
JK_000774	Shamela_0013169	y
Shamela_0000954	Shamela_0030873	n
